titles,released,developers,publishers,genres
Majin Tensei,1994,Multimedia Intelligence Transfer,"Atlus, Bbmf Corporation",Strategy
Major League Baseball 2K9,2009,Visual Concepts,2K Sports,Sport
Making History: The Calm & The Storm,2007,Muzzy Lane,Muzzy Lane,"Simulator, Strategy"
Maldita Castilla,2012,Locomalito,Locomalito,"Platform, Adventure, Indie, Arcade"
Malice,1997,Ratloop,Quantum Axcess,"Point-and-click, Puzzle, Adventure"
Mall of America Tycoon,2005,4HEAD Studios,Activision Value,"Simulator, Strategy"
Mall Tycoon,2002,"Holistic Design, Inc.",Take-Two Interactive,"Simulator, Strategy"
Mall Tycoon 2,2003,"Fusion Digital Games, Virtual Playground",Global Star Software,"Simulator, Strategy"
Mall Tycoon 3,2005,Cat Daddy Games,Global Star Software,Strategy
Manhunt,2003,Rockstar North,Rockstar Games,"Point-and-click, Adventure"
Manic Miner,1997,Matthew Smith,Software Projects,Platform
Mankind,1998,"Quantex, O2 Online Entertainment",O2 Online Entertainment,"Shooter, Role-playing (RPG), Sport, Adventure"
Manx TT Superbike,1995,"Sega-AM3, Sega-AM4",Sega,Racing
MapleStory,2003,Wizet,Nexon,"Role-playing (RPG), ""Hack and slash/Beat em up"""
MapleStory 2,2018,NSquare,Nexon,"Role-playing (RPG), Simulator, Adventure"
Marathon 2: Durandal,1995,Bungie,Bungie,Shooter
Marble Blast Gold,2003,"Monster Studios, GarageGames",GarageGames,Platform
Marble Drop,1997,Maxis,Maxis,"Puzzle, Strategy"
Marc Eckōs Getting Up: Contents Under Pressure,2006,The Collective,Atari,"Racing, Strategy, ""Hack and slash/Beat em up"", Adventure"
Mare Nostrum,2008,Sandstorm Productions,Valve,"Real Time Strategy (RTS), Simulator, Strategy"
Marios Game Gallery,1995,"Presage Software, Inc.",Interplay Entertainment,"Puzzle, Simulator, Turn-based strategy (TBS), Quiz/Trivia"
Martian Gothic: Unification,2000,Creative Reality,TalonSoft,Adventure
Marvel Trading Card Game,2007,Vicious Cycle Software,Konami,"Strategy, Turn-based strategy (TBS), Card & Board Game"
Marvel: Ultimate Alliance,2006,Beenox Studios,Activision,"""Hack and slash/Beat em up"""
Mashed,2004,Supersonic Software,Empire Interactive,Racing
Mass Effect,2007,Demiurge Studios,Electronic Arts,"Shooter, Role-playing (RPG), Adventure"
Mass Effect 2,2010,BioWare,Electronic Arts,"Shooter, Role-playing (RPG), Tactical"
Massive Assault,2003,Wargaming,Matrix Games,"Strategy, Turn-based strategy (TBS)"
Master of Orion II: Battle at Antares,1996,Simtex,Microprose,"Strategy, Turn-based strategy (TBS)"
Master of Orion III,2003,Quicksilver Software,Infogrames,"Strategy, Turn-based strategy (TBS)"
Mata Hari,2008,Cranberry Production,Viva Media,"Point-and-click, Puzzle, Adventure"
The Matrix Online,2005,Monolith Productions,"Warner Brothers, SEGA",Role-playing (RPG)
The Matrix: Path of Neo,2005,Shiny Entertainment,Atari,"Fighting, Shooter, ""Hack and slash/Beat em up"""
Maui Mallard in Cold Shadow,1995,Eurocom,Disney Interactive,"Platform, Arcade"
The Maw,2009,Twisted Pixel Games,Microsoft,Adventure
Max Payne,2001,Remedy Entertainment,Gathering of Developers,Adventure
Max Payne 2: The Fall of Max Payne,2003,Remedy Entertainment,Rockstar Games,Shooter
Max Payne 3,2012,Rockstar Vancouver,Rockstar Games,Adventure
MDK,1997,Shiny Entertainment,Shiny Entertainment,"Shooter, Platform, Adventure"
MDK2,2000,BioWare,Interplay Entertainment,Shooter
MechCommander,1998,FASA Interactive,MicroProse,"Real Time Strategy (RTS), Simulator, Strategy"
MechCommander 2,2001,FASA Interactive,Microsoft,"Real Time Strategy (RTS), Simulator, Strategy, Tactical"
MechWarrior 2: 31st Century Combat,1995,Activision,Activision,"Shooter, Simulator, Tactical"
MechWarrior 3,1999,Zipper Interactive,Hasbro Interactive,"Shooter, Simulator"
MechWarrior 3: Pirates Moon,1999,Zipper Interactive,Hasbro Interactive,"Shooter, Simulator"
MechWarrior 4: Vengeance,2000,FASA Interactive,Microsoft,"Shooter, Simulator, Tactical"
MechWarrior 4: Black Knight,2001,Cyberlore Studios,Microsoft Corporation,"Shooter, Simulator, Tactical"
MechWarrior 4: Mercenaries,2002,"Cyberlore Studios, FASA Studio",Microsoft Games Studios,"Shooter, Simulator, Tactical"
Medal of Honor: Airborne,2007,EA Los Angeles,Electronic Arts,Shooter
Medal of Honor: Allied Assault,2002,"2015, Inc.",Electronic Arts,Shooter
Medal of Honor: Pacific Assault,2004,"EA Los Angeles, TKO Software",EA Games,Shooter
Medieval Conquest,2004,Cat Daddy Games,Global Star Software,"Simulator, Strategy, Indie"
"Medieval Lords: Build, Defend, Expand",2005,Monte Cristo Multimedia,Monte Cristo Multimedia,Strategy
Medieval: Total War,2002,The Creative Assembly,Activision,"Real Time Strategy (RTS), Simulator, Strategy, Turn-based strategy (TBS), Tactical"
Medieval: Total War: Viking Invasion,2003,The Creative Assembly,Activision,"Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS), Tactical"
Medieval II: Total War,2006,The Creative Assembly,Sega,"Real Time Strategy (RTS), Simulator, Strategy, Turn-based strategy (TBS), Tactical"
Medieval II: Total War: Kingdoms,2007,The Creative Assembly,Sega,"Strategy, Turn-based strategy (TBS), Tactical"
Meet the Robinsons,2007,Buena Vista Games,Disney Interactive Studios,Adventure
Mega Man 11,2018,Capcom,Capcom,Platform
Mega Man Legends,1997,Capcom Production Studio 2,"Capcom Entertainment, Inc.",Role-playing (RPG)
Mega Man Legends 2,2000,Capcom Production Studio 2,"Capcom Entertainment, Inc.","Shooter, Platform, Role-playing (RPG), Adventure"
Mega Man Legacy Collection 2,2017,Capcom,Capcom,"Shooter, Platform"
Mega Man Maker,2017,Mega Man Maker Team,Mega Man Maker Team,"Shooter, Platform"
Mega Man X Collection,2018,Capcom,Capcom,"Shooter, Platform"
Mega Man X4,1997,Capcom,Capcom,"Shooter, Platform"
Mega Man X5,2000,Capcom Production Studio 3,Capcom,"Shooter, Platform, Adventure"
Mega Man X6,2001,Capcom Production Studio 3,Capcom,"Platform, Adventure"
Mega Man X7,2003,Capcom Production Studio 3,Capcom,"Platform, Adventure"
Mega Man X8,2005,Capcom Production Studio 1,Capcom,"Platform, Adventure"
MegaRace 3,2001,Cryo Interactive,Cryo Interactive,Racing
Men of Valor,2004,"2015, Inc.",Vivendi Universal,Shooter
Men of War,2009,Best Way,1C Company,"Real Time Strategy (RTS), Simulator, Strategy, Tactical"
Mercenaries 2: World in Flames,2008,Pandemic Studios,Electronic Arts,Shooter
Merchant Prince II,2001,"Holistic Design, Inc.",TalonSoft,Strategy
Meridian 59,1996,"Archetype Interactive, Near Death Studios","3DO, Near Death Studios","Role-playing (RPG), Indie"
Message in a Haunted Mansion,2000,Her Interactive,DreamCatcher,"Point-and-click, Adventure"
The Messenger,2001,"Canal+ Multimedia, Index+","DreamCatcher Interactive, Microids","Racing, Simulator, Indie"
The Messenger,2018,Sabotage Studio,Devolver Digital,"Racing, Simulator, Indie"
Messiah,2000,Shiny Entertainment,Interplay Entertainment,Strategy
Metal Fatigue,2000,Zono,Psygnosis,"Real Time Strategy (RTS), Strategy"
Metal Gear Rising: Revengeance,2013,PlatinumGames,Konami,"""Hack and slash/Beat em up"""
Metal Gear Solid,2000,Digital DialectKonami,Microsoft,"Shooter, Tactical, Adventure"
Metal Gear Solid 2: Sons of Liberty,2003,"Konami, Success",Konami,"Tactical, Adventure"
Mias Math Adventure: Just in Time!,2001,Kutoka Interactive,Kutoka Interactive,Adventure
Michael Schumacher Racing World Kart 2002,2002,Radon Labs,JoWooD Productions,"Racing, Simulator"
Michelin Rally Masters: Race of Champions,2000,Digital Illusions CE,Infogrames,Racing
Micro Commandos,2002,Monte Cristo,Monte Cristo,Strategy
Micro Machines V3,1997,Codemasters,"Codemasters, Midway Games","Racing, Arcade"
Microsoft Baseball 2001,2000,Microsoft,Microsoft,Sport
Microsoft Entertainment Pack: The Puzzle Collection,1997,Mir - Dialogue,Microsoft Games,"Puzzle, Sport, Strategy, Turn-based strategy (TBS)"
Microsoft Flight Simulator,2020,Asobo Studio,Xbox Game Studios,Simulator
Microsoft Flight Simulator for Windows 95,1996,Microsoft,Microsoft,Simulator
Microsoft Flight Simulator 98,1997,Microsoft,Microsoft,Simulator
Microsoft Flight Simulator 2000,1999,Microsoft,Microsoft,Simulator
Microsoft Flight Simulator 2002,2001,Microsoft,Microsoft,Simulator
Microsoft Flight Simulator 2004: A Century of Flight,2003,Microsoft,Microsoft,Simulator
Microsoft Flight Simulator X,2006,ACES Studios,Microsoft,Simulator
Microsoft Golf 1998 Edition,1998,Friendly Software,Microsoft,"Simulator, Sport"
Microsoft Golf 1999 Edition,1998,Friendly Software,Microsoft,Sport
Microsoft Golf 2001 Edition,2000,Microsoft,Microsoft,Sport
Microsoft International Soccer 2000,1999,Rage Software,Microsoft Studios,Sport
Microsoft Mahjong,2012,Arkadium,Microsoft Studios,"Puzzle, Quiz/Trivia"
Microsoft Solitaire Collection,2012,Arkadium,Microsoft Studios,Card & Board Game
Microsoft Pinball Arcade,1998,Microsoft,Microsoft,"Pinball, Arcade"
Microsoft Train Simulator,2001,MSTS 1: Kuju Entertainment,Microsoft,Simulator
Microsoft Train Simulator 2,2009,Microsoft ACES Studio,Microsoft,"Simulator, Strategy"
Midnight Club II,2003,Rockstar San Diego,Rockstar Games,"Racing, Arcade"
Midnight Rescue!,1995,The Learning Company,The Learning Company,"Puzzle, Strategy"
Midtown Madness,1999,Angel Studios,Microsoft,"Racing, Simulator"
Midtown Madness 2,2000,Angel Studios,Microsoft Game Studios,"Racing, Simulator"
Midway Arcade Treasures,2003,"Digital Eclipse, Backbone Entertainment",Midway Games,"Racing, Sport, Adventure"
Midway Arcade Treasures Deluxe Edition,2006,Midway Games,Midway Games,"Racing, Sport, Adventure"
MiG Alley,1999,Rowan Software,Empire Interactive,Simulator
MiG-29 Fulcrum,1998,NovaLogic,NovaLogic,Simulator
Might and Magic VI: The Mandate of Heaven,1998,New World Computing,Ubisoft,"Role-playing (RPG), Turn-based strategy (TBS)"
Might and Magic VII: For Blood and Honor,1999,New World Computing,3DO,"Role-playing (RPG), Adventure"
Might and Magic VIII: Day of the Destroyer,2000,New World Computing,3DO,Role-playing (RPG)
Might and Magic IX,2002,New World Computing,3DO,Role-playing (RPG)
Mighty No. 9,2016,Comcept,Deep Silver,"Platform, Adventure"
Millennium Soldier: Expendable,1998,Rage Software,"Imagineer, Infogrames",Shooter
MindRover,2000,CogniToy,CogniToy,Strategy
Minerva,2005,Adam Foster,Adam Foster,"Shooter, Adventure"
Minecraft,2011,Mojang,Mojang,Adventure
Mini Desktop Racing,2005,Data Design Interactive,Metro3D,Racing
Mini Ninjas,2009,IO Interactive,Eidos Interactive,"Platform, Adventure"
Mirrors Edge,2008,EA Digital Illusions CE,Electronic Arts,"Platform, Adventure"
Missile Command,1999,Meyer/Glass Interactive,Hasbro Interactive,Simulator
MissionForce: CyberStorm,1996,Dynamix,Sierra Entertainment,"Strategy, Turn-based strategy (TBS)"
MLB Front Office Manager,2009,Blue Castle Games,2K Sports,"Simulator, Sport"
Moai Better Blues,2008,Telltale Games,Telltale Games,"Point-and-click, Adventure"
Mob Enforcer,2004,Touchdown Entertainment,"ValuSoft, Kemco, GFI Russia, Russobit-M",Shooter
Mobil 1 Rally Championship,1999,"Magnetic Fields, Creative Asylum Limited","Actualize, Electronic Arts","Racing, Simulator"
Mobile Forces,2002,Rage Software,"Majesco Entertainment, Sold Out Software",Fighting
Mobility,2001,Glamus,Glamus,Puzzle
The Moment of Silence,2004,House of Tales,Digital Jesters,"Point-and-click, Adventure, Indie"
Monato Esprit,2009,Gamasoft,Reality GapIT Territory,Role-playing (RPG)
Monopoly,1995,Westwood Studios,Hasbro Interactive,"Strategy, Card & Board Game"
Monopoly,2000,Artech Studios,Hasbro Interactive,"Strategy, Card & Board Game"
Monopoly 2008,2007,"TikGames, LLC",Encore Software,"Strategy, Card & Board Game"
Monopoly 3,2004,Artech Studios,Atari Europe,"Strategy, Quiz/Trivia"
Monopoly Junior,1999,Minds-Eye Productions,Hasbro Interactive,Strategy
Monopoly Star Wars,1997,Artech Digital Entertainment,Hasbro Interactive,Card & Board Game
Monopoly Tycoon,2001,Deep Red Games,Infogrames,"Puzzle, Simulator, Strategy"
Monster Hunter Frontier Online,2007,Capcom,Capcom,"Role-playing (RPG), ""Hack and slash/Beat em up"""
Monster Jam,2007,Torus Games,Activision,Racing
Monster Jam: Maximum Destruction,2002,Unique Development Studios,Ubisoft,Racing
Monster Madness: Battle for Suburbia,2007,Artificial Studios,SouthPeak Games,Shooter
Monster Truck Madness,1996,Terminal Reality,Microsoft,Racing
Monster Truck Madness 2,1998,Terminal Reality,Microsoft Games,"Racing, Simulator, Sport"
Monster Trux Extreme: Offroad Edition,2005,Data Design Interactive,BOLD Games,Racing
Monsters vs. Aliens,2009,Beenox,Activision,Adventure
"Monsters, Inc. Scream Team",2002,Artificial Mind and Movement,Disney Interactive,Platform
Montezumas Return,1997,Utopia Technologies,"Software 2000, WizardWorks","Platform, Adventure"
Monty Python & the Quest for the Holy Grail,1996,7th Level,7th Level,"Point-and-click, Puzzle, Adventure"
Moon Tycoon,2001,Legacy Interactive,Anarchy Enterprises,"Simulator, Strategy"
Mornings Wrath,2005,Ethereal Darkness Interactive,Ethereal Darkness Interactive,"Role-playing (RPG), Adventure"
Morpheus,1998,Soap Bubble Productions,"Piranha Interactive Publishing, Tiburon Interactive Publishing","Platform, Puzzle, Strategy"
Mortal Kombat 3,1996,Midway Games,GT Interactive Software Corp.,Fighting
Mortal Kombat 4,1997,"Midway Games, Eurocom",Midway Games,Fighting
Mortal Kombat Trilogy,1996,Avalanche Software LLC,Midway Games,Fighting
Mortal Kombat X,2015,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment.,Fighting
Mortal Kombat 11,2019,"NetherRealm Studios, QLOC",Warner Bros. Interactive Entertainment.,Fighting
Mortal Online,2009,Star Vault,Star Vault,Fighting
Mosbys Confederacy,2008,Tilted Mill Entertainment,Tilted Mill Entertainment,Strategy
Moto Racer,1997,Delphine Software International,Electronic Arts,Racing
Moto Racer 2,1998,Delphine Software International,Delphine Software International/Electronic Arts,Racing
Motocross Madness 2,2000,Rainbow Studios,Microsoft Games,Racing
MotoGP 07,2007,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
MotoGP 08,2008,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
MotoGP 13,2013,Milestone srl,Milestone srl,"Racing, Sport"
MotoGP 14,2014,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
MotoGP 15,2015,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
MotoGP 17,2017,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
MotoGP 18,2018,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
MotoGP 19,2019,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
MotoGP 20,2020,Milestone srl,Milestone srl,"Racing, Simulator, Sport"
Motor City Online,2001,Electronic Arts,Electronic Arts,Racing
Motorhead,1999,Digital Illusions CE,"Gremlin Interactive, Fox Interactive","Adventure, Indie"
Mount & Blade,2008,TaleWorlds,Paradox Interactive,"Shooter, Real Time Strategy (RTS), Simulator, Strategy"
Mount & Blade: Warband,2010,TaleWorlds,Paradox Interactive,"Role-playing (RPG), Simulator, Strategy, Indie"
Mountain of Faith,2007,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
Movie Battles,2009,Movie Battles Team,Movie Battles Team,Turn-based strategy (TBS)
The Movies,2005,Lionhead Studios,Activision,Shooter
The Movies: Stunts & Effects,2006,Lionhead Studios,Activision,"Simulator, Strategy"
Mr. Robot,2007,Moonpod,Moonpod,Adventure
Mu Online,2003,Webzen,"Webzen, Digital Media Exchange","Fighting, Role-playing (RPG), Strategy, Turn-based strategy (TBS)"
Multi Theft Auto,2005,MTA Team,MTA Team,"Simulator, Indie"
Multiwinia,2008,Introversion Software,Introversion Software,"Real Time Strategy (RTS), Strategy, Indie"
My Disney Kitchen,2002,Atlus,Disney Interactive,"Puzzle, Simulator"
My Horse and Me,2007,W!Games,Atari,"Adventure, Indie"
MySims,2007,EA Redwood Shores,Electronic Arts,Simulator
Myst,1995,Cyan Worlds,Mindscape,"Point-and-click, Puzzle, Adventure, Indie"
Myst III: Exile,2001,Presto Studios,Ubisoft,"Point-and-click, Puzzle, Adventure"
Myst IV: Revelation,2004,Ubisoft Montreal,Ubisoft,"Puzzle, Adventure"
Myst Online: Uru Live,2007,Cyan Worlds,UbisoftCyan WorldsGameTap,"Role-playing (RPG), Adventure"
Myst V: End of Ages,2005,Cyan Worlds,Ubisoft,"Puzzle, Strategy, Adventure"
Mysterious Journey II,2003,Detalion,DreamCatcher InteractiveThe Adventure Company,"Puzzle, Adventure"
Mystery Case Files: Huntsville,2005,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
Mystery Case Files: Madame Fate,2007,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
Mystery Case Files: Prime Suspects,2006,Big Fish Studios,Big Fish Games,"Point-and-click, Puzzle, Adventure"
Mystery Case Files: Ravenhearst,2006,Big Fish Studios,Big Fish Games,Adventure
Mystery Case Files: Return to Ravenhearst,2008,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
Mystery in London,2007,Big Fish Studios,Big Fish Games,"Puzzle, Adventure"
The Mystery of the Druids,2001,House of Tales Entertainment,Dtp entertainmentFocusAkellaCDV Software,"Point-and-click, Adventure"
Mystery P.I.: The Lottery Ticket,2007,SpinTop Games,PopCap Games,"Puzzle, Adventure"
Mystic Inn,2006,Big Fish Studios,Big Fish Games,"Puzzle, Strategy"
Myth: The Fallen Lords,1997,Bungie,Eidos Interactive,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
Myth II: Soulblighter,1998,Bungie,Bungie,"Real Time Strategy (RTS), Strategy"
Myth II: Chimera,1999,Bungie,Bungie,"Real Time Strategy (RTS), Strategy"
Myth: The Total Codex,1999,Bungie,Bungie,Strategy
Myth III: The Wolf Age,2001,MumboJumbo,God Games,Real Time Strategy (RTS)
Myth Makers Super Kart GP,2006,Data Design Interactive,Data Design InteractiveConspiracy Entertainment,Racing
Mytheon,2010,Petroglyph Games,True GamesGoa,Adventure
N,2005,Metanet Software,Metanet Software,"Platform, Adventure"
NAM,1998,TNT Team,GT Interactive,"Simulator, Strategy, Indie"
Nancy Drew: Ghost Dogs Of Moon Lake,2002,Her Interactive,DreamCatcher,Adventure
Nancy Drew: The Haunting of Castle Malloy,2008,Her Interactive,Her Interactive,Adventure
Nancy Drew: The White Wolf of Icicle Creek,2007,Her Interactive,Her Interactive,"Point-and-click, Adventure"
Nanosaur,1998,Pangea Software,Pangea Software,Shooter
Napoleon: Total War,2010,The Creative Assembly,Sega,Strategy
Narbacular Drop,2005,Nuclear Monkey Software,DigiPen,"Shooter, Platform, Puzzle"
Narc,2008,VIS Entertainment,"Zoo Digital, zushi games ltd.","Shooter, Arcade"
Narcissu,2005,stage-nana,insani,Adventure
NASCAR Revolution,1999,Stormfront Studios,EA Sports,Racing
NASCAR 2000,2000,"EA Sports, Stormfront Studios",EA Sports,"Racing, Simulator"
NASCAR Racing,1994,Papyrus Design Group,Papyrus Design Group,Racing
NASCAR Racing 2,1996,Papyrus Design Group,"Papyrus Design Group, Sierra On-Line","Racing, Simulator, Sport"
NASCAR Craftsman Truck Series Racing,1999,Papyrus Design Group,Sierra On-Line,Racing
NASCAR Legends,1999,Papyrus Design Group,Sierra Sports,"Racing, Simulator, Sport"
NASCAR Racing 1999 Edition,1999,Papyrus Design Group,Sierra On-Line,"Racing, Simulator, Sport"
NASCAR Racing 3,1999,Papyrus Design Group,Sierra On-Line,Racing
NASCAR Racing 3 Craftsman Truck Series Expansion Pack,2000,Papyrus Design Group,Sierra Entertainment,Racing
